,chunk_content,concerns
10,"(C) On 2/22/2019, an operator was observed resting her gloved hands on the work surface of LAFW1 during preparation of Bone Marrow Pink Syringes (not administered in humans). During the operation, the technician was observed to rest one hand at a time directly on the ISO 5 work surface and use the other hand to hold the barrel of a syringe. The operator's arm was also observed to pass over the open bottle of DMEM (Dulbecco's modified eagle medium).  OBSERVATION 3",Operator was observed to rest one hand at a time directly on the ISO 5 work surface
11,"OBSERVATION 3  Cleaning pads used in the ISO 5 classified aseptic processing areas were not sterile.  EMPLOYEE(S) NAME AND TITLE (Print or Type)  EMPLOYEE(S) SIGNATURE  DATE ISSUED  SEE REVERSE OF THIS PAGE  Mindy M. Chou, Investigator Djamila Haroualca, Microbiologist  7141 II) -'.. -- •'--"" i'')-7  03/06/2019  FDA 483 (9/08) PREVIOUS EDITION OBSOLETE  INSPECTIONAL OBSERVATIONS  Page 1 of 3",Cleaning pads used in the ISO 5 classified aseptic processing areas were not sterile.
12,"OBSERVATION 3  Cleaning pads used in the ISO 5 classified aseptic processing areas were not sterile.  EMPLOYEE(S) NAME AND TITLE (Print or Type)  EMPLOYEE(S) SIGNATURE  DATE ISSUED  SEE REVERSE OF THIS PAGE  Mindy M. Chou, Investigator Djamila Haroualca, Microbiologist  7141 II) -'.. -- •'--"" i'')-7  03/06/2019  FDA 483 (9/08) PREVIOUS EDITION OBSOLETE  INSPECTIONAL OBSERVATIONS  Page 1 of 3","Mindy M. Chou, Investigator"
13,"OBSERVATION 3  Cleaning pads used in the ISO 5 classified aseptic processing areas were not sterile.  EMPLOYEE(S) NAME AND TITLE (Print or Type)  EMPLOYEE(S) SIGNATURE  DATE ISSUED  SEE REVERSE OF THIS PAGE  Mindy M. Chou, Investigator Djamila Haroualca, Microbiologist  7141 II) -'.. -- •'--"" i'')-7  03/06/2019  FDA 483 (9/08) PREVIOUS EDITION OBSOLETE  INSPECTIONAL OBSERVATIONS  Page 1 of 3","Djamila Haroualca, Microbiologist"
14,"""Upon completion of any such inspection of a factory, warehouse, consulting laboratory, or other establishment, and prior to leaving the premises, the officer or employee making the inspection shall give to the owner, operator, or agent in charge a report in writing setting forth any conditions or practices observed by him which, in his judgement, indicate that any food, drug, device, or cosmetic in such establishment (1) consists in whole or in part of any filthy, putrid, or decomposed","Filthy, putrid, or decomposed food, drug, device, or cosmetic"
15,"or decomposed substance, or (2) has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health. A copy of such report shall be sent promptly to the Secretary.""",Food products may have become contaminated with filth.
16,"or decomposed substance, or (2) has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health. A copy of such report shall be sent promptly to the Secretary.""",Food products may have been rendered injurious to health.
17,"or decomposed substance, or (2) has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health. A copy of such report shall be sent promptly to the Secretary.""","Food products have been prepared, packed, or held under insanitary conditions."
18,"or decomposed substance, or (2) has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health. A copy of such report shall be sent promptly to the Secretary.""",Food products have not been inspected by the Secretary.
19,"or decomposed substance, or (2) has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health. A copy of such report shall be sent promptly to the Secretary.""",Food products have not been reported to the Secretary.
20,"OBSERVATION 4  Media fills were not performed that; closely simulate aseptic production operations incorporating, as appropriate, worst- case activities and conditions that provide a challenge to aseptic operations.  Specifically, the media fills are performed using the CHEMOTEQ kit, which fails to simulate preparation of the total parenteral nutrition (TPN) bags using the ExactaMix Compounder. TPN preparations represent the largest volume parenteral drug products made at the site.",#NAME?
21,"OBSERVATION 4  Media fills were not performed that; closely simulate aseptic production operations incorporating, as appropriate, worst- case activities and conditions that provide a challenge to aseptic operations.  Specifically, the media fills are performed using the CHEMOTEQ kit, which fails to simulate preparation of the total parenteral nutrition (TPN) bags using the ExactaMix Compounder. TPN preparations represent the largest volume parenteral drug products made at the site.",#NAME?
22,"OBSERVATION 4  Media fills were not performed that; closely simulate aseptic production operations incorporating, as appropriate, worst- case activities and conditions that provide a challenge to aseptic operations.  Specifically, the media fills are performed using the CHEMOTEQ kit, which fails to simulate preparation of the total parenteral nutrition (TPN) bags using the ExactaMix Compounder. TPN preparations represent the largest volume parenteral drug products made at the site.",#NAME?
23,"Specifically, materials are transferred into and out of the ISO 7 Sterile IV Prep Room (1C166A5B) using two cart pass- throughs. On 2/22/2019, it was observed that the door to the pass-through (labeled 'IN' in room 1C166A5B) would move when the door to the second pass through (labeled 'OUT' in room 1C166A5B) was forcefully shut in the ISO 8 IV Prep Anteroom (1C166A5A). On 2/25/2019, the door sweeps on the cart pass through doors in the ISO 8 IV Prep Anteroom (1C166A5A) showed signs of damage",The door sweeps on the cart pass through doors in the ISO 8 IV Prep Anteroom (1C166A5A) showed signs of damage.
24,"Specifically, materials are transferred into and out of the ISO 7 Sterile IV Prep Room (1C166A5B) using two cart pass- throughs. On 2/22/2019, it was observed that the door to the pass-through (labeled 'IN' in room 1C166A5B) would move when the door to the second pass through (labeled 'OUT' in room 1C166A5B) was forcefully shut in the ISO 8 IV Prep Anteroom (1C166A5A). On 2/25/2019, the door sweeps on the cart pass through doors in the ISO 8 IV Prep Anteroom (1C166A5A) showed signs of damage",The door to the pass-through (labeled 'IN' in room 1C166A5B) would move when the door to the second pass through (labeled 'OUT' in room 1C166A5B) was forcefully shut.
25,"""Upon completion of any such inspection of a factory, warehouse, consulting laboratory, or other establishment, and prior to leaving the premises, the officer or employee making the inspection shall give to the owner, operator, or agent in charge a report in writing setting forth any conditions or practices observed by him which, in his judgement, indicate that any food, drug, device, or cosmetic in such establishment (1) consists in whole or in part of any filthy, putrid, or decomposed","Filthy, putrid, or decomposed food, drug, device, or cosmetic"
26,"or decomposed substance, or (2) has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health. A copy of such report shall be sent promptly to the Secretary.""","Food products have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth."
27,"or decomposed substance, or (2) has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health. A copy of such report shall be sent promptly to the Secretary.""",Food products may have been rendered injurious to health.
28,"or decomposed substance, or (2) has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health. A copy of such report shall be sent promptly to the Secretary.""",Reports of such irregularities must be sent promptly to the Secretary.
29,"Between 1/18/2019 and 2/25/2019, 66 locations were identified by the pharmacy staff that required repair. Sixty-four of the identified locations were in the ISO classified rooms of the I-IVAU.  OBSERVATION 7  Your facility was designed and/or operated in a way that permits poor flow of personnel.",#NAME?
30,"Between 1/18/2019 and 2/25/2019, 66 locations were identified by the pharmacy staff that required repair. Sixty-four of the identified locations were in the ISO classified rooms of the I-IVAU.  OBSERVATION 7  Your facility was designed and/or operated in a way that permits poor flow of personnel.",- 64 of the identified locations were in the ISO classified rooms of the I-IVAU
31,"Between 1/18/2019 and 2/25/2019, 66 locations were identified by the pharmacy staff that required repair. Sixty-four of the identified locations were in the ISO classified rooms of the I-IVAU.  OBSERVATION 7  Your facility was designed and/or operated in a way that permits poor flow of personnel.",- 66 locations identified by pharmacy staff that required repair
32,"Specifically, sinks located in the ISO 8 IV Prep Anteroom (1C166A5A) and ISO 8 Gowning Room (1C166A7A) were operated in a manner that allowed water to pool along the sink or on the floor adjacent to the sink.",The water was allowed to pool along the sink or on the floor adjacent to the sink.
33,"(B) On 2/22/2019, standing water was observed under a piece of tape on the backsplash panel of the sink located in the ISO 8 IV Prep Anteroom (1C166A5A). Water also appeared to be pooled beneath a bottle of hand sanitizer and nail cleaners placed on the ledge above sink.",Standing water observed under a piece of tape on the backsplash panel of the sink
34,"(B) On 2/22/2019, standing water was observed under a piece of tape on the backsplash panel of the sink located in the ISO 8 IV Prep Anteroom (1C166A5A). Water also appeared to be pooled beneath a bottle of hand sanitizer and nail cleaners placed on the ledge above sink.",Water pooled beneath a bottle of hand sanitizer and nail cleaners placed on the ledge above sink
35,"Food and Drug Administration.  Section 704(b) of the Federal Food, Drug, and Cosmetic Act (21 USC 374(b)) provides:","The act requires that all drugs, devices, and biological products must be safe and effective for their intended use."
36,"Food and Drug Administration.  Section 704(b) of the Federal Food, Drug, and Cosmetic Act (21 USC 374(b)) provides:","It also requires that all drugs, devices, and biological products must be manufactured, processed, packed, and held in accordance with current good manufacturing practice."
37,"Food and Drug Administration.  Section 704(b) of the Federal Food, Drug, and Cosmetic Act (21 USC 374(b)) provides:","It requires that all drugs, devices, and biological products must be labeled in accordance with applicable regulations."
38,"Food and Drug Administration.  Section 704(b) of the Federal Food, Drug, and Cosmetic Act (21 USC 374(b)) provides:","It requires that all drugs, devices, and biological products must be tested for safety and effectiveness before they are marketed."
39,"""Upon completion of any such inspection of a factory, warehouse, consulting laboratory, or other establishment, and prior to leaving the premises, the officer or employee making the inspection shall give to the owner, operator, or agent in charge a report in writing setting forth any conditions or practices observed by him which, in his judgement, indicate that any food, drug, device, or cosmetic in such establishment (1) consists in whole or in part of any filtIly, putrid, or decomposed","Food, drug, device, or cosmetic consists in whole or in part of any filth, putrid, or decomposed."
40,"or decomposed substance, or (2) has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health. A copy of such report shall be sent promptly to the Secretary.""","Food products have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth."
41,"or decomposed substance, or (2) has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health. A copy of such report shall be sent promptly to the Secretary.""",Food products may have been rendered injurious to health.
42,"or decomposed substance, or (2) has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health. A copy of such report shall be sent promptly to the Secretary.""",Reports of such irregularities must be sent promptly to the Secretary.
43,FORM FDA 483 (9/08),Failure to establish and maintain procedures for implementing corrective and preventive action. #
44,FORM FDA 483 (9/08),"Failure to establish and maintain procedures for receiving, reviewing, and evaluating complaints by a formally designated unit. #"
45,FORM FDA 483 (9/08),Failure to establish and maintain procedures for validating the device design. #
46,FORM FDA 483 (9/08),Failure to establish and maintain procedures for validating changes to the device. #
47,FORM FDA 483 (9/08),Failure to establish and maintain procedures for controlling product that does not conform to specified requirements. #
48,FORM FDA 483 (9/08),Failure to establish and maintain procedures to ensure that device packaging and labels are designed to protect the device from alteration or damage during distribution. #
